year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,Atlantic,Urban Interstate/Freeway/Expressway,1590246,114,0.7,1
2017,Atlantic,Urban Primary Arterial,1688987,250,0.7,1
2017,Atlantic,Urban Minor Arterial,1552249,171,0.5,0.7
2017,Atlantic,Urban Collector (Major and Minor),498790,169,0.5,0.7
2017,Atlantic,Urban Local,755170,982,0.3,0.5
2017,Atlantic,Rural Interstate/Primary Arterial,746468,81,0.7,1
2017,Atlantic,Rural Minor Arterial,260070,34,0.5,0.7
2017,Atlantic,Rural Collector (Major and Minor),266480,105,0.5,0.7
2017,Atlantic,Rural Local,207357,357,0.3,0.5
2018,Atlantic,Urban Interstate/Freeway/Expressway,1532359,114,0.7,1
2018,Atlantic,Urban Primary Arterial,1631638,250,0.7,1
2018,Atlantic,Urban Minor Arterial,1542451,170,0.5,0.7
2018,Atlantic,Urban Collector (Major and Minor),487697,169,0.5,0.7
2018,Atlantic,Urban Local,796931,981,0.3,0.5
2018,Atlantic,Rural Interstate/Primary Arterial,717340,81,0.7,1
2018,Atlantic,Rural Minor Arterial,256747,34,0.5,0.7
2018,Atlantic,Rural Collector (Major and Minor),263584,105,0.5,0.7
2018,Atlantic,Rural Local,222153,358,0.3,0.5
2019,Atlantic,Urban Interstate/Freeway/Expressway,1525228,114,0.7,1
2019,Atlantic,Urban Primary Arterial,1638290,250,0.7,1
2019,Atlantic,Urban Minor Arterial,1565642,170,0.5,0.7
2019,Atlantic,Urban Collector (Major and Minor),507156,170,0.5,0.7
2019,Atlantic,Urban Local,780224,982,0.3,0.5
2019,Atlantic,Rural Interstate/Primary Arterial,714080,81,0.7,1
2019,Atlantic,Rural Minor Arterial,272027,34,0.5,0.7
2019,Atlantic,Rural Collector (Major and Minor),270840,105,0.5,0.7
2019,Atlantic,Rural Local,231409,358,0.3,0.5
2020,Atlantic,Urban Interstate/Freeway/Expressway,1246900,114,0.7,1
2020,Atlantic,Urban Primary Arterial,1439791,250,0.7,1
2020,Atlantic,Urban Minor Arterial,1489213,170,0.5,0.7
2020,Atlantic,Urban Collector (Major and Minor),437318,170,0.5,0.7
2020,Atlantic,Urban Local,690877,984,0.3,0.5
2020,Atlantic,Rural Interstate/Primary Arterial,598480,81,0.7,1
2020,Atlantic,Rural Minor Arterial,246049,34,0.5,0.7
2020,Atlantic,Rural Collector (Major and Minor),247576,105,0.5,0.7
2020,Atlantic,Rural Local,192860,358,0.3,0.5
2021,Atlantic,Urban Interstate/Freeway/Expressway,1448586,114,0.7,1
2021,Atlantic,Urban Primary Arterial,1567883,250,0.7,1
2021,Atlantic,Urban Minor Arterial,1568352,170,0.5,0.7
2021,Atlantic,Urban Collector (Major and Minor),455852,170,0.5,0.7
2021,Atlantic,Urban Local,759165,984,0.3,0.5
2021,Atlantic,Rural Interstate/Primary Arterial,684642,81,0.7,1
2021,Atlantic,Rural Minor Arterial,265645,34,0.5,0.7
2021,Atlantic,Rural Collector (Major and Minor),258656,105,0.5,0.7
2021,Atlantic,Rural Local,215860,358,0.3,0.5
2022,Atlantic,Urban Interstate/Freeway/Expressway,1449014,114,0.7,1
2022,Atlantic,Urban Primary Arterial,1557077,250,0.7,1
2022,Atlantic,Urban Minor Arterial,1564556,170,0.5,0.7
2022,Atlantic,Urban Collector (Major and Minor),498459,170,0.5,0.7
2022,Atlantic,Urban Local,790275,984,0.3,0.5
2022,Atlantic,Rural Interstate/Primary Arterial,680011,81,0.7,1
2022,Atlantic,Rural Minor Arterial,254840,34,0.5,0.7
2022,Atlantic,Rural Collector (Major and Minor),268388,105,0.5,0.7
2022,Atlantic,Rural Local,220393,358,0.3,0.5
2017,Bergen,Urban Interstate/Freeway/Expressway,10038661,294,0.7,1
2017,Bergen,Urban Primary Arterial,3659429,488,0.7,1
2017,Bergen,Urban Minor Arterial,3261799,339,0.5,0.7
2017,Bergen,Urban Collector (Major and Minor),833318,246,0.5,0.7
2017,Bergen,Urban Local,3221640,2138,0.3,0.5
2017,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2017,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2017,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2017,Bergen,Rural Local,0,0,0.3,0.5
2018,Bergen,Urban Interstate/Freeway/Expressway,9993315,294,0.7,1
2018,Bergen,Urban Primary Arterial,3635092,483,0.7,1
2018,Bergen,Urban Minor Arterial,3358077,339,0.5,0.7
2018,Bergen,Urban Collector (Major and Minor),867220,246,0.5,0.7
2018,Bergen,Urban Local,3256112,2138,0.3,0.5
2018,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2018,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2018,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2018,Bergen,Rural Local,0,0,0.3,0.5
2019,Bergen,Urban Interstate/Freeway/Expressway,10244915,294,0.7,1
2019,Bergen,Urban Primary Arterial,3758176,483,0.7,1
2019,Bergen,Urban Minor Arterial,3523214,339,0.5,0.7
2019,Bergen,Urban Collector (Major and Minor),872833,246,0.5,0.7
2019,Bergen,Urban Local,3134546,2141,0.3,0.5
2019,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2019,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2019,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2019,Bergen,Rural Local,0,0,0.3,0.5
2020,Bergen,Urban Interstate/Freeway/Expressway,7820226,294,0.7,1
2020,Bergen,Urban Primary Arterial,3015091,483,0.7,1
2020,Bergen,Urban Minor Arterial,2779785,339,0.5,0.7
2020,Bergen,Urban Collector (Major and Minor),764151,246,0.5,0.7
2020,Bergen,Urban Local,2650583,2141,0.3,0.5
2020,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2020,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2020,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2020,Bergen,Rural Local,0,0,0.3,0.5
2021,Bergen,Urban Interstate/Freeway/Expressway,9049274,294,0.7,1
2021,Bergen,Urban Primary Arterial,3434112,483,0.7,1
2021,Bergen,Urban Minor Arterial,3229122,339,0.5,0.7
2021,Bergen,Urban Collector (Major and Minor),854496,246,0.5,0.7
2021,Bergen,Urban Local,3053837,2141,0.3,0.5
2021,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2021,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2021,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2021,Bergen,Rural Local,0,0,0.3,0.5
2022,Bergen,Urban Interstate/Freeway/Expressway,9300031,294,0.7,1
2022,Bergen,Urban Primary Arterial,3594007,482.5,0.7,1
2022,Bergen,Urban Minor Arterial,3278068,339,0.5,0.7
2022,Bergen,Urban Collector (Major and Minor),856482,246,0.5,0.7
2022,Bergen,Urban Local,3155815,2141,0.3,0.5
2022,Bergen,Rural Interstate/Primary Arterial,0,0,0.7,1
2022,Bergen,Rural Minor Arterial,0,0,0.5,0.7
2022,Bergen,Rural Collector (Major and Minor),0,0,0.5,0.7
2022,Bergen,Rural Local,0,0,0.3,0.5
2017,Burlington,Urban Interstate/Freeway/Expressway,4738217,156,0.7,1
2017,Burlington,Urban Primary Arterial,3427616,345,0.7,1
2017,Burlington,Urban Minor Arterial,1855778,218,0.5,0.7
2017,Burlington,Urban Collector (Major and Minor),918261,215,0.5,0.7
2017,Burlington,Urban Local,1626254,1620,0.3,0.5
2017,Burlington,Rural Interstate/Primary Arterial,484793,84,0.7,1
2017,Burlington,Rural Minor Arterial,142170,20,0.5,0.7
2017,Burlington,Rural Collector (Major and Minor),204421,94,0.5,0.7
2017,Burlington,Rural Local,216401,372,0.3,0.5
2018,Burlington,Urban Interstate/Freeway/Expressway,4787036,156,0.7,1
2018,Burlington,Urban Primary Arterial,3250269,345,0.7,1
2018,Burlington,Urban Minor Arterial,1867376,218,0.5,0.7
2018,Burlington,Urban Collector (Major and Minor),932236,215,0.5,0.7
2018,Burlington,Urban Local,1632210,1620,0.3,0.5
2018,Burlington,Rural Interstate/Primary Arterial,478541,84,0.7,1
2018,Burlington,Rural Minor Arterial,141337,20,0.5,0.7
2018,Burlington,Rural Collector (Major and Minor),204883,94,0.5,0.7
2018,Burlington,Rural Local,230859,372,0.3,0.5
2019,Burlington,Urban Interstate/Freeway/Expressway,4914125,156,0.7,1
2019,Burlington,Urban Primary Arterial,3279667,345,0.7,1
2019,Burlington,Urban Minor Arterial,1900066,218,0.5,0.7
2019,Burlington,Urban Collector (Major and Minor),957489,215,0.5,0.7
2019,Burlington,Urban Local,1669842,1629,0.3,0.5
2019,Burlington,Rural Interstate/Primary Arterial,496660,84,0.7,1
2019,Burlington,Rural Minor Arterial,141448,20,0.5,0.7
2019,Burlington,Rural Collector (Major and Minor),206556,94,0.5,0.7
2019,Burlington,Rural Local,240477,372,0.3,0.5
2020,Burlington,Urban Interstate/Freeway/Expressway,3747373,156,0.7,1
2020,Burlington,Urban Primary Arterial,2916033,345,0.7,1
2020,Burlington,Urban Minor Arterial,1535665,218,0.5,0.7
2020,Burlington,Urban Collector (Major and Minor),897622,215,0.5,0.7
2020,Burlington,Urban Local,1424273,1632,0.3,0.5
2020,Burlington,Rural Interstate/Primary Arterial,393731,84,0.7,1
2020,Burlington,Rural Minor Arterial,129335,20,0.5,0.7
2020,Burlington,Rural Collector (Major and Minor),198207,94,0.5,0.7
2020,Burlington,Rural Local,200418,372,0.3,0.5
2021,Burlington,Urban Interstate/Freeway/Expressway,4601072,156,0.7,1
2021,Burlington,Urban Primary Arterial,3245248,345,0.7,1
2021,Burlington,Urban Minor Arterial,1813030,218,0.5,0.7
2021,Burlington,Urban Collector (Major and Minor),913635,215,0.5,0.7
2021,Burlington,Urban Local,1591293,1631,0.3,0.5
2021,Burlington,Rural Interstate/Primary Arterial,476790,84,0.7,1
2021,Burlington,Rural Minor Arterial,136371,20,0.5,0.7
2021,Burlington,Rural Collector (Major and Minor),199390,94,0.5,0.7
2021,Burlington,Rural Local,187695,311,0.3,0.5
2022,Burlington,Urban Interstate/Freeway/Expressway,4742021,156,0.7,1
2022,Burlington,Urban Primary Arterial,3239142,345,0.7,1
2022,Burlington,Urban Minor Arterial,1773167,218,0.5,0.7
2022,Burlington,Urban Collector (Major and Minor),899913,215,0.5,0.7
2022,Burlington,Urban Local,1626480,1631,0.3,0.5
2022,Burlington,Rural Interstate/Primary Arterial,477380,84,0.7,1
2022,Burlington,Rural Minor Arterial,145824,20,0.5,0.7
2022,Burlington,Rural Collector (Major and Minor),193983,94,0.5,0.7
2022,Burlington,Rural Local,191635,311,0.3,0.5
2017,Camden,Urban Interstate/Freeway/Expressway,3778453,144,0.7,1
2017,Camden,Urban Primary Arterial,3331349,305,0.7,1
2017,Camden,Urban Minor Arterial,2056393,237,0.5,0.7
2017,Camden,Urban Collector (Major and Minor),657438,181,0.5,0.7
2017,Camden,Urban Local,1444965,1440,0.3,0.5
2017,Camden,Rural Interstate/Primary Arterial,72981,6,0.7,1
2017,Camden,Rural Minor Arterial,16861,3,0.5,0.7
2017,Camden,Rural Collector (Major and Minor),9329,5,0.5,0.7
2017,Camden,Rural Local,10411,18,0.3,0.5
2018,Camden,Urban Interstate/Freeway/Expressway,3782668,144,0.7,1
2018,Camden,Urban Primary Arterial,3307164,305,0.7,1
2018,Camden,Urban Minor Arterial,2061831,237,0.5,0.7
2018,Camden,Urban Collector (Major and Minor),629680,181,0.5,0.7
2018,Camden,Urban Local,1450139,1440,0.3,0.5
2018,Camden,Rural Interstate/Primary Arterial,72251,6,0.7,1
2018,Camden,Rural Minor Arterial,17005,3,0.5,0.7
2018,Camden,Rural Collector (Major and Minor),9414,5,0.5,0.7
2018,Camden,Rural Local,11107,18,0.3,0.5
2019,Camden,Urban Interstate/Freeway/Expressway,3835435,144,0.7,1
2019,Camden,Urban Primary Arterial,3289597,305,0.7,1
2019,Camden,Urban Minor Arterial,2065242,237,0.5,0.7
2019,Camden,Urban Collector (Major and Minor),648283,181,0.5,0.7
2019,Camden,Urban Local,1476246,1440,0.3,0.5
2019,Camden,Rural Interstate/Primary Arterial,67340,6,0.7,1
2019,Camden,Rural Minor Arterial,17702,3,0.5,0.7
2019,Camden,Rural Collector (Major and Minor),9519,5,0.5,0.7
2019,Camden,Rural Local,11569,18,0.3,0.5
2020,Camden,Urban Interstate/Freeway/Expressway,3284810,144,0.7,1
2020,Camden,Urban Primary Arterial,2822824,305,0.7,1
2020,Camden,Urban Minor Arterial,1875454,237,0.5,0.7
2020,Camden,Urban Collector (Major and Minor),590472,181,0.5,0.7
2020,Camden,Urban Local,1258012,1441,0.3,0.5
2020,Camden,Rural Interstate/Primary Arterial,73669,6,0.7,1
